"観光地区名","和歌山","大　阪","京　都","兵　庫","奈　良","滋　賀","三　重","四　国","中　国","東　 海","北　陸","関　東","東　北","北海道","九州沖縄","外国人","不　明","計"
"高野山_宿泊者数","9627.0","36678.0","9837.0","17005.0","8058.0","6331.0","6226.0","20301.0","19778.0","37986.0","9000.0","102553.0","6436.0","6122.0","25167.0","56059.0","63258.0","440422.0"
"高野山_構成率","0.021858581088138193","0.08327921856764649","0.02233539650607826","0.0386106961050992","0.018296088751243125","0.014374849576088387","0.014136441867118354","0.046094427617149006","0.04490693017151732","0.08624909745653032","0.02043494648314571","0.2328516740762269","0.01461325728505842","0.01390030470775756","0.05714292201570312","0.12728474054429614","0.14363042718120347","1.0"
"加太・友ヶ島・磯ノ浦_宿泊者数","16124.0","61262.0","5233.0","9286.0","6028.0","2523.0","976.0","3101.0","3168.0","6827.0","1199.0","5221.0","1260.0","1364.0","2956.0","3476.0","2702.0","132706.0"
"加太・友ヶ島・磯ノ浦_構成率","0.12150166533540308","0.4616370020948563","0.03943303241752445","0.06997422874625112","0.04542371859599415","0.01901195123053969","0.007354603409039531","0.0233674438231881","0.023872319262128315","0.05144454659171401","0.009035009720736063","0.03934260696577397","0.009494672433801034","0.010278359682305246","0.022274802947869727","0.02619323919039079","0.02036079755248444","1.0"
"和歌浦・紀三井寺・和歌山城　他_宿泊者数","67991.0","92107.0","17105.0","30051.0","11384.0","7991.0","5572.0","14286.0","15434.0","22853.0","10542.0","86883.0","10460.0","5017.0","17190.0","103905.0","187177.0","705948.0"
"和歌浦・紀三井寺・和歌山城　他_構成率","0.0963116263520826","0.13047278269787577","0.02422982995914713","0.04256829114892315","0.016125833630805667","0.011319530616985953","0.007892932623932642","0.020236617994526508","0.02186280009292469","0.03237207273056939","0.014933111220656478","0.12307280422920669","0.01481695535648518","0.007106755738382997","0.024350235428105185","0.1471850617892536","0.2651427583901364","1.0"
"西有田_宿泊者数","6870.0","24048.0","3960.0","6174.0","3428.0","2691.0","1898.0","1756.0","1490.0","4095.0","1198.0","10084.0","2171.0","2670.0","1874.0","494.0","3822.0","78723.0"
"西有田_構成率","0.08726801570062116","0.3054761632559735","0.05030296101520521","0.07842688921916086","0.043545088474778657","0.0341831485080599","0.02410985353708573","0.022306060490580898","0.018927124220367617","0.05201783468617812","0.015217915983892891","0.12809471183770943","0.02757770918283094","0.03391639038146412","0.02380498710669055","0.006275167358967519","0.04854997904043291","1.0"
"煙樹海岸・白崎海岸・道成寺・御坊 他_宿泊者数","29015.0","71589.0","6834.0","13755.0","4646.0","1404.0","1174.0","1416.0","1667.0","3074.0","1897.0","12706.0","1529.0","608.0","2663.0","323.0","568.0","154868.0"
"煙樹海岸・白崎海岸・道成寺・御坊 他_構成率","0.18735310070511663","0.4622581811607304","0.04412790247178242","0.08881757367564636","0.02999974171552548","0.009065785055660304","0.007580649327168944","0.009143270398016375","0.01076400547563086","0.019849161866880183","0.01224914120412222","0.08204406333135315","0.009872924038536044","0.003925924012707596","0.01719528889118475","0.0020856471317509105","0.0036676395381873596","1.0"
