"""","１月","２月","３月","４月","５月","６月","７月","８月","９月","１０月","１１月","１２月","計","構成比(％)"
"アジア_中　国","2567.0","8519.0","7434.0","13419.0","9944.0","12117.0","10382.0","10240.0","4939.0","6287.0","7806.0","4626.0","98280.0","0.2298441980009074"
"アジア_韓　国","968.0","1174.0","1577.0","1670.0","1859.0","1202.0","544.0","929.0","917.0","1344.0","2464.0","1226.0","15874.0","0.03712400080450147"
"アジア_台　湾","3550.0","4590.0","10277.0","8910.0","6936.0","6866.0","5433.0","7335.0","4255.0","7038.0","9616.0","5672.0","80478.0","0.18821124711759285"
"アジア_香　港","4927.0","8178.0","8291.0","11856.0","8336.0","6734.0","9599.0","10127.0","4684.0","7353.0","8689.0","8539.0","97313.0","0.22758270696034089"
"アジア_ｼﾝｶﾞﾎﾟｰﾙ","71.0","325.0","348.0","957.0","445.0","630.0","253.0","337.0","300.0","640.0","1692.0","1826.0","7824.0","0.01829773102522486"
"アジア_タ　イ","268.0","377.0","816.0","1112.0","558.0","1183.0","279.0","287.0","316.0","1021.0","1186.0","1436.0","8839.0","0.020671478084351044"
"アジア_マレーシア","14.0","73.0","270.0","232.0","115.0","254.0","14.0","52.0","48.0","89.0","403.0","154.0","1718.0","0.004017829997614559"
"アジア_インドネシア","4.0","50.0","7.0","181.0","102.0","44.0","19.0","8.0","16.0","86.0","51.0","164.0","732.0","0.0017119042830348414"
"アジア_インド","5.0","1.0","10.0","19.0","5.0","27.0","19.0","13.0","113.0","17.0","38.0","11.0","278.0","0.0006501494408247075"
"アジア_その他","291.0","881.0","1507.0","2155.0","729.0","838.0","1454.0","257.0","694.0","1691.0","355.0","1193.0","12045.0","0.028169244657315115"
"北米_米　国","374.0","177.0","845.0","2253.0","1538.0","1098.0","1080.0","1439.0","1693.0","2038.0","1188.0","584.0","14307.0","0.03345930953193917"
"北米_カナダ","71.0","79.0","215.0","443.0","602.0","198.0","317.0","360.0","356.0","436.0","461.0","173.0","3711.0","0.008678793434893847"
"ヨーロッパ_イギリス","88.0","72.0","448.0","1429.0","691.0","235.0","406.0","559.0","523.0","874.0","547.0","153.0","6025.0","0.014090468996290875"
"ヨーロッパ_フランス","279.0","135.0","669.0","2944.0","1813.0","374.0","1394.0","2579.0","692.0","1965.0","1205.0","294.0","14343.0","0.033543501545858924"
"ヨーロッパ_ドイツ","27.0","34.0","304.0","882.0","359.0","140.0","322.0","779.0","571.0","624.0","411.0","139.0","4592.0","0.010739159108874305"
"ヨーロッパ_スペイン","30.0","19.0","201.0","549.0","275.0","188.0","434.0","2294.0","658.0","875.0","336.0","43.0","5902.0","0.01380281294873174"
"ヨーロッパ_その他","507.0","178.0","1024.0","3110.0","1409.0","561.0","1684.0","3939.0","1339.0","2434.0","1225.0","441.0","17851.0","0.041747545568927534"
"その他_ｵｰｽﾄﾗﾘｱ・ﾆｭｰｼﾞｰﾗﾝﾄﾞ","376.0","226.0","814.0","2433.0","1335.0","525.0","1473.0","1563.0","1035.0","1322.0","1243.0","688.0","13033.0","0.030479847706001487"
"その他_その他","710.0","944.0","1186.0","2418.0","1595.0","895.0","2507.0","2198.0","2593.0","2569.0","4749.0","2085.0","24449.0","0.05717807078677437"
"計","15127.0","26032.0","36243.0","56972.0","38646.0","34109.0","37613.0","45295.0","25742.0","38703.0","43665.0","29447.0","427594.0","1.0"
"月別比（％）","0.03537701651566673","0.060880180732189884","0.08476031001370458","0.13323853936210517","0.09038012694284765","0.0797695945219063","0.0879642838767616","0.10592992418041414","0.06020196728672526","0.09051343096488726","0.10211789688349228","0.06886672871929915","1.0",""
