"""","平成１５年","平成１６年","平成１７年","平成１８年","平成１９年","平成２０年","平成２１年","平成２２年","平成２３年","平成２４年","平成２５年","平成２６年","平成２７年"
"観光客総数_計（人）","9354168.0","10905145.0","11065793.0","10702529.0","11383064.0","11010754.0","10656655.0","10700433.0","8901130.0","9645191.0","10137157.0","10862041.0","12473868.0"
"観光客総数_対前年比（％）","","1.1658059808205283","1.0147313951350487","0.9671723481543528","1.0635863729030774","0.9672926375534742","0.9678406219955509","1.0041080432837508","0.8318476457915301","1.0835917462164917","1.051006351247995","1.0715076228966367","1.148390804269658"
"観光客総数_対15年比（％）","1.0","1.1658059808205283","1.1829799293747985","1.1441454761128942","1.2168975370123778","1.1770960282090295","1.1392413520903195","1.1439214048753454","0.9515683276160959","1.031111585765832","1.083704825485281","1.1611979814773479","1.333509083865075"
"うち宿泊客_計（人）","3576334.0","3639279.0","3461727.0","3497401.0","3753440.0","3685742.0","3462958.0","3406550.0","2813586.0","3027579.0","3242630.0","3246962.0","3554423.0"
"うち宿泊客_対前年比（％）","","1.0176004254636173","0.951212314307312","1.0103052609290102","1.073208362438279","0.9819637452576836","0.9395551831897078","0.9837110354789171","0.8259341562577974","1.0760570318447704","1.0710306816106203","1.001335952606372","1.0946918996896176"
"うち宿泊客_対15年比（％）","1.0","1.0176004254636173","0.9679540557453526","0.9779290748571022","1.0495216610081721","1.0305922209726497","0.9682982629698457","0.9525256869185037","0.7867234995389133","0.8465593537963736","0.9066910417203762","0.9079023379807367","0.9938733350967779"
"うち日帰り客_計（人）","5777834.0","7265866.0","7604066.0","7205128.0","7629624.0","7325012.0","7193697.0","7293883.0","6087544.0","6617612.0","6894527.0","7615079.0","8919445.0"
"うち日帰り客_対前年比（％）","","1.2575414939231553","1.0465464130497315","0.9475362260138195","1.0589158166239379","0.9600750967544404","0.9820730669110167","1.0139269140749188","0.8346094940102549","1.0870741960961596","1.0418451550196657","1.1045107227805475","1.1712872578209628"
"うち日帰り客_対15年比（％）","1.0","1.2575414939231553","1.3160755397264787","1.2470292500615283","1.32049899668284","1.267778202004419","1.2450508270054141","1.262390542892025","1.0536031322464439","1.1453447779911987","1.1932719077772052","1.3179816173327237","1.5437350744240834"
"うち外国人宿泊客_計（人）","31980.0","49762.0","47870.0","59480.0","94694.0","100685.0","78514.0","88291.0","46171.0","78574.0","140484.0","180812.0","221825.0"
"うち外国人宿泊客_対前年比（％）","","1.5560350218886805","0.9619790201358467","1.2425318571130144","1.5920309347679893","1.0632669440513653","0.7797983810895367","1.1245255623200958","0.5229411831330487","1.7018041627861644","1.78791966808359","1.2870647191139204","1.2268267592858881"
"うち外国人宿泊客_対15年比（％）","1.0","1.5560350218886805","1.4968730456535335","1.859912445278299","2.961038148843027","3.1483739837398375","2.4550969355847405","2.7608192620387744","1.443746091307067","2.4569731081926203","4.392870544090056","5.653908692933083","6.936366479049406"
